Created Date,Closed Date,Borough,Descriptor,Complaint Type,Agency,Longitude,Latitude,Status,processing_time,start_time_window
01/01/2016 12:27:12 AM,01/01/2016 01:50:25 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.9382897087699,40.84446560992583,Closed,0 days 01:23:13.000000000,0
01/01/2016 12:27:15 AM,01/01/2016 12:35:04 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.90503366264404,40.74643145366832,Closed,0 days 00:07:49.000000000,0
01/01/2016 12:27:18 AM,01/01/2016 02:55:42 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.84008202383659,40.787448424954576,Closed,0 days 02:28:24.000000000,0
01/01/2016 12:27:21 AM,01/01/2016 06:51:22 AM,BROOKLYN,Banging/Pounding,Noise - Residential,NYPD,-73.95090929569977,40.59670792799608,Closed,0 days 06:24:01.000000000,0
01/01/2016 12:27:38 AM,01/01/2016 01:48:54 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.99230687922609,40.767346877358015,Closed,0 days 01:21:16.000000000,0
01/01/2016 12:27:51 AM,01/01/2016 06:10:26 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.8957221617425,40.70746704339695,Closed,0 days 05:42:35.000000000,0
01/01/2016 12:28:00 AM,01/01/2016 01:18:00 AM,BRONX,Controller,Traffic Signal Condition,DOT,,,Closed,0 days 00:50:00.000000000,0
01/01/2016 12:28:05 AM,01/01/2016 03:14:10 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.82278087343016,40.67752294319872,Closed,0 days 02:46:05.000000000,0
01/01/2016 12:29:00 AM,01/11/2016 08:30:00 PM,BROOKLYN,Street Light Out,Street Light Condition,DOT,,,Closed,10 days 20:01:00.000000000,0
01/01/2016 12:29:03 AM,01/01/2016 03:43:46 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.7662200345285,40.75926545263436,Closed,0 days 03:14:43.000000000,0
01/01/2016 12:29:21 AM,01/04/2016 01:02:04 PM,BROOKLYN,APARTMENT ONLY,HEAT/HOT WATER,HPD,-73.88264205538559,40.6776654474885,Closed,3 days 12:32:43.000000000,0
01/01/2016 12:30:00 AM,01/04/2016 10:51:00 AM,MANHATTAN,"Noise, Barking Dog (NR5)",Noise,DEP,-73.94974924771604,40.77449445696747,Closed,3 days 10:21:00.000000000,0
